Garnet,0.45,0.21,0.21
Gargoyle Gas,1,0.87,0.27
Generic viridian,0,0.5,0.4
Ghost white,0.97,0.97,1
Giant's Club,0.69,0.36,0.32
Giants orange,1,0.35,0.11
Gin,0.85,0.89,0.74
Glaucous,0.38,0.51,0.71
Glossy grape,0.67,0.57,0.7
GO green,0,0.67,0.4
Gold,0.65,0.49,0
Gold (metallic),0.83,0.69,0.22
Gold (web) (Golden),1,0.84,0
Gold (Crayola),0.9,0.75,0.54
Gold Fusion,0.52,0.46,0.31
Gold foil,0.74,0.61,0.09
Golden brown,0.6,0.4,0.08
Golden poppy,0.99,0.76,0
Golden yellow,1,0.87,0
Goldenrod,0.85,0.65,0.13
Google Chrome red,0.87,0.32,0.27
Google Chrome blue,0.3,0.55,0.96
Google Chrome green,0.1,0.64,0.38
Google Chrome yellow,1,0.81,0.27
Granite gray,0.4,0.4,0.4
Granny Smith apple,0.66,0.89,0.63
Grape,0.44,0.18,0.66
Gray (HTML/CSS gray),0.5,0.5,0.5
Gray (X11 gray),0.75,0.75,0.75
Gray-asparagus,0.27,0.35,0.27
Gray-blue,0.55,0.57,0.67
Green,0,1,0
Green (Color Wheel) (X11 green),0,1,0
Green (Crayola),0.11,0.67,0.47
Green (HTML/CSS color),0,0.5,0
Green (Munsell),0,0.66,0.47
Green (NCS),0,0.62,0.42
Green (Pantone),0,0.68,0.26
Green (pigment),0,0.65,0.31
Green (RYB),0.4,0.69,0.2
Green-blue,0.07,0.39,0.71
Green-blue (Crayola),0.16,0.53,0.78
Green Cola,0.3,0.45,0.11
Green-cyan,0,0.6,0.4
Green Lizard,0.65,0.96,0.2
Green Sheen,0.43,0.68,0.63
Green slime,0.4,1,0
Green-yellow,0.68,1,0.18
Green-yellow (Crayola),0.94,0.91,0.57
Grullo,0.66,0.6,0.53
Guppie green,0,1,0.5
Gunmetal,0.16,0.2,0.22
Guyabano,0.97,0.97,0.97
Halayà úbe,0.4,0.22,0.33
Halloween orange,0.92,0.38,0.14
Han blue,0.27,0.42,0.81
Han purple,0.32,0.09,0.98
Hansa yellow,0.91,0.84,0.42
Harlequin,0.25,1,0
Harlequin green,0.27,0.8,0.09
Harmonious rose,0.95,0.61,0.72
Harvest gold,0.85,0.57,0
Hawaii blue,0,0.37,0.89
Heart gold,0.5,0.5,0
Heat Wave,1,0.48,0
Heliotrope,0.87,0.45,1
Heliotrope gray,0.67,0.6,0.66
Heliotrope magenta,0.67,0,0.73
Hollywood cerise,0.96,0,0.63
Honeydew,0.94,1,0.94
Honolulu blue,0,0.43,0.69
Hooker's green,0.29,0.47,0.42
Hot magenta,1,0.11,0.81
Hot pink,1,0.41,0.71
Huawei Red,0.81,0.04,0.17
Huawei Red (1987-2018),0.93,0.11,0.14
Hunter green,0.21,0.37,0.23
Iceberg,0.44,0.65,0.82
Iced tea,0.57,0.24,0
Icterine,0.99,0.97,0.37
Iguana green,0.44,0.74,0.47
Illuminating emerald,0.19,0.57,0.47
Imperial,0.38,0.18,0.42
Imperial blue,0,0.14,0.58
Imperial purple,0.4,0.01,0.24
Imperial red,0.93,0.16,0.22
Inchworm,0.7,0.93,0.36
Independence,0.3,0.32,0.43
India green,0.07,0.53,0.03
Indian red,0.8,0.36,0.36
